description,name,geometry
,Vstup,"<Polygon><outerBoundaryIs><LinearRing><coordinates>17.506466,49.17032,0.0 17.506471,49.170218,0.0 17.506799,49.170228,0.0 17.506772,49.170329,0.0 17.506466,49.17032,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,vstupZaBranou,"<Polygon><outerBoundaryIs><LinearRing><coordinates>17.506062,49.170311,0.0 17.506074,49.170197,0.0 17.506411,49.170217,0.0 17.506395,49.170322,0.0 17.506062,49.170311,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
